experiment,seed,model,pretrained,img_size,augment,epochs,params,best_epoch,val_acc,test_acc,train_time_s,run_dir
03_resnet18_linear_probe,0,resnet18,True,224,basic,20,8208,17,0.9104,,165.3,runs/03_resnet18_linear_probe_seed0
04_resnet18_finetune,0,resnet18,True,224,basic,30,11184720,21,0.9458,,280.4,runs/04_resnet18_finetune_seed0
00_baseline_tnet,0,tnet,False,64,none,20,57776,20,0.4958,,66.6,runs/00_baseline_tnet_seed0
01_baseline_plus_color,0,tnet,False,128,none,20,246480,19,0.5875,,98.3,runs/01_baseline_plus_color_seed0
00_baseline_tnet,0,tnet,False,64,none,20,57776,20,0.4958,,65.0,runs/00_baseline_tnet_seed0
01_baseline_plus_color,0,tnet,False,128,none,20,246480,20,0.5813,,99.2,runs/01_baseline_plus_color_seed0
03_resnet18_linear_probe,0,resnet18,True,224,basic,20,8208,9,0.9083,,164.2,runs/03_resnet18_linear_probe_seed0
04_resnet18_finetune,0,resnet18,True,224,basic,30,11184720,16,0.9396,,274.7,runs/04_resnet18_finetune_seed0
06_resnet50_strong_aug,0,resnet50,True,224,strong,40,23540816,29,0.9438,,465.1,runs/06_resnet50_strong_aug_seed0
05_resnet50_finetune,0,resnet50,True,224,basic,30,30,False,23540816,20,0.9521,,351.9,runs/05_resnet50_finetune_seed0
02_smallcnn_scratch,0,smallcnn,False,128,basic,60,60,False,4695504,54,0.8938,,404.1,runs/02_smallcnn_scratch_seed0
07_resnet50_mixup,0,resnet50,True,224,strong,60,0,True,23540816,0,0.1042,,13.4,runs/07_resnet50_mixup_seed0
